Fecha,Tsu,Vol,Location Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
2012-03-09,5706.0,0.0,VANUATU ISLANDS,-19.125,169.613,16.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14,5446.0,0.0,JAPAN:  HOKKAIDO,40.887,144.944,12.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-16,0.0,0.0,PHILIPPINES:  SURIGAO,10.037,125.633,18.0,5.8,0.0,0.0,55.0,28.5,24.4,2.7
2012-03-20,5447.0,0.0,"MEXICO:  GUERRERO, OAXACA",16.493,-98.231,20.0,7.4,8.0,2.0,13.0,33.1,20.6,0.0
2012-03-25,0.0,0.0,"CHILE:  PARRAL, SANTIAGO",-35.2,-72.217,41.0,7.2,0.0,1.0,14.0,25.0,15.3,0.0
2012-04-11,5449.0,0.0,INDONESIA:  N SUMATRA:  OFF WEST COAST,2.327,93.063,20.0,8.6,0.0,10.0,12.0,0.0,0.0,0.0
2012-04-11,5450.0,0.0,INDONESIA:  N SUMATRA:  OFF WEST COAST,0.802,92.463,25.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-14,5451.0,0.0,VANUATU ISLANDS,-18.972,168.741,11.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-17,0.0,0.0,CHILE:  VALPARAISO,-32.625,-71.365,29.0,6.7,0.0,2.0,0.0,21.2,8.8,0.0
2012-05-03,0.0,0.0,"IRAN:  MOURMOURI, ABDANAN, DEHLORAN",32.747,47.726,10.0,5.4,0.0,0.0,8.0,34.8,21.2,0.3
2012-05-07,0.0,0.0,AZERBAIJAN:  ZAGATALA,41.549,46.789,11.0,5.7,0.0,0.0,50.0,19.4,8.0,4.0
2012-05-11,0.0,0.0,"INDIA:  ASSAM:  KAMRUP, GUWAHATI",26.175,92.889,43.0,5.4,0.0,0.0,2.0,31.2,8.4,1.1
